FrameID,Head_x,Head_y,Beak_x,Beak_y,Robot_x,Robot_y,Robot_visible
646,412.7645568847656,776.852783203125,417.599609375,764.5326538085938,871.7361450195312,871.7361450195312,y
647,412.9658508300781,776.816162109375,417.7429504394531,764.4389038085938,871.9244995117188,871.9244995117188,y
649,412.9847106933594,777.0092163085938,420.3489685058594,761.908203125,868.7491455078125,868.7491455078125,y
650,413.0576171875,777.1846923828125,417.94281005859375,764.8231811523438,868.8444213867188,868.8444213867188,y
651,408.0241088867188,784.8129272460938,404.2462158203125,773.5907592773438,871.8851318359375,871.8851318359375,y
652,423.5931701660156,799.5323486328125,440.2373962402344,807.7579956054688,871.7979736328125,871.7979736328125,y
653,420.3750915527344,800.483642578125,437.3582763671875,812.95654296875,868.9066162109375,868.9066162109375,y
654,420.6401672363281,800.5900268554688,437.4758605957031,814.9855346679688,871.67236328125,871.67236328125,y
655,421.0931091308594,800.3861083984375,437.9739379882813,814.6558837890625,868.72216796875,868.72216796875,y
656,423.5716857910156,800.03662109375,440.2610168457031,812.1046142578125,868.670654296875,868.670654296875,y
657,420.7812194824219,800.3812255859375,437.6999206542969,814.8934936523438,868.6182861328125,868.6182861328125,y
658,423.5079650878906,800.4758911132812,440.1859436035156,814.6824951171875,868.52880859375,868.52880859375,y
659,420.638427734375,800.4901733398438,437.6412963867188,814.8148803710938,868.7059326171875,868.7059326171875,y
660,420.9314880371094,800.5704956054688,437.866455078125,813.0438232421875,868.6836547851562,868.6836547851562,y
661,423.5525207519531,800.4136962890625,440.33538818359375,812.47119140625,868.7734375,868.7734375,y
662,421.070556640625,800.3255004882812,438.24755859375,804.9085693359375,868.7346801757812,868.7346801757812,y
663,420.9576721191406,800.28125,438.0318603515625,812.4849243164062,871.921875,871.921875,y
664,420.9789733886719,800.806396484375,438.1973876953125,801.3147583007812,871.9159545898438,871.9159545898438,y
666,424.2325744628906,808.945556640625,441.6216430664063,809.3903198242188,868.8402709960938,868.8402709960938,y
667,425.0831909179688,808.6489868164062,442.4713134765625,809.1173095703125,871.9165649414062,871.9165649414062,y
668,427.8127746582031,808.5089721679688,445.2794494628906,808.67578125,871.6994018554688,871.6994018554688,y
669,424.95709228515625,808.7827758789062,442.3202819824219,809.5740356445312,871.735595703125,871.735595703125,y
670,424.6741638183594,808.9655151367188,442.0199279785156,809.2437133789062,871.8997192382812,871.8997192382812,y
671,424.1802673339844,808.7037353515625,441.4810485839844,809.4088134765625,868.9202880859375,868.9202880859375,y
672,424.61920166015625,808.6572265625,441.740234375,812.6842041015625,871.6492919921875,871.6492919921875,y
673,424.1666259765625,808.361083984375,441.1714477539063,812.856201171875,871.9102783203125,871.9102783203125,y
674,424.58587646484375,808.4049072265625,441.5755615234375,813.067626953125,871.7763061523438,871.7763061523438,y
675,424.5910949707031,808.0126342773438,441.73248291015625,812.3065795898438,868.8751220703125,868.8751220703125,y
676,424.8440856933594,808.3092041015625,442.1361389160156,808.7944946289062,868.8693237304688,868.8693237304688,y
677,424.8521423339844,807.94140625,442.2063598632813,808.6294555664062,868.8848876953125,868.8848876953125,y
678,424.566162109375,808.1205444335938,441.7643432617188,812.6670532226562,871.869384765625,871.869384765625,y
679,428.2973327636719,807.421630859375,445.31732177734375,815.7616577148438,871.6682739257812,871.6682739257812,y
680,432.12542724609375,803.76416015625,446.5057678222656,820.1424560546875,871.912109375,871.912109375,y
681,432.7733459472656,801.0731201171875,449.419677734375,813.3615112304688,872.0152587890625,872.0152587890625,y
682,431.98919677734375,803.5789794921875,444.7360229492188,820.2131958007812,868.9417724609375,868.9417724609375,y
683,432.044189453125,801.0921020507812,448.76666259765625,813.4373168945312,871.946533203125,871.946533203125,y
684,429.1299743652344,803.650390625,443.49029541015625,820.1622314453125,871.8446044921875,871.8446044921875,y
